Date,Open,High,Low,Close,Volume
26/08/2012 00:00,1671.38,1692.78,1645.91,1690.8,433041
02/09/2012 00:00,1689.15,1741.75,1685.35,1735.7,512709
09/09/2012 00:00,1734.91,1777.72,1715.46,1770.35,729253
16/09/2012 00:00,1775.13,1787.39,1751.84,1773.03,774228
23/09/2012 00:00,1771.81,1783.24,1736.63,1771.68,784439
30/09/2012 00:00,1769.47,1795.87,1763.33,1780.29,755255
07/10/2012 00:00,1777.25,1779.7,1752.06,1754.19,677089
14/10/2012 00:00,1751.86,1753.46,1715.52,1721.75,676261
21/10/2012 00:00,1718.34,1730.03,1698.5,1710.89,749080
28/10/2012 00:00,1711.77,1726.98,1674.43,1677.42,621960
04/11/2012 00:00,1677.93,1738.77,1672.63,1730.84,824178
11/11/2012 00:00,1733.65,1737.96,1704.68,1713.57,746807
18/11/2012 00:00,1714.57,1754.28,1714.29,1751.13,576742
